manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio,gwp_electronics_ratio,gwp_battery_ratio,gwp_hdd_ratio,gwp_ssd_ratio,gwp_othercomponents_ratio,comment
Google,Pixel Watch 3 (45mm),Workplace,Smartphone,21.0,0.06,,3,,August 2024,https://www.gstatic.com/gumdrop/sustainability/google-pixel-watch-3-45mm-product-environmental-report.pdf,6aba9c3037084b303a85f3d5c366d43b,,0.85,,,,,,,,,2025-04-04,Google Auto Parser,0.08,0.01,,,,,,
Google,Pixel Watch 3 (41mm),Workplace,Smartphone,21.0,0.06,,3,,August 2024,https://www.gstatic.com/gumdrop/sustainability/google-pixel-watch-3-41mm-product-environmental-report.pdf,4bef00626c9650f7af96125948cb8e4e,,0.86,,,,,,,,,2025-04-04,Google Auto Parser,0.07,0.01,,,,,,
Google,Pixel Buds Pro 2,Workplace,Smartphone,9.0,0.03,1.0,3,,August 2024,https://www.gstatic.com/gumdrop/sustainability/google-pixel-buds-pro-2-product-environmental-report.pdf,f3176ff29ad5b51071e0a416dd3da9e1,,0.9,,,,,,,,,2025-04-04,Google Auto Parser,0.06,0.01,,,,,,
Google,TV Streamer (4K),,,33.0,0.52,,4,,,https://www.gstatic.com/gumdrop/sustainability/google-tv-streamer-4k-product-environmental-report.pdf,9d503f03cc243abc65bc21ad536f77ab,,0.45,,,,,,,,,2025-04-04,Google Auto Parser,0.02,0.01,,,,,,
Google,Nest Learning Thermostat (4th gen),Home,IoT,23.0,0.18,,10,,August 2024,https://www.gstatic.com/gumdrop/sustainability/nest-learning-thermostat-4th-gen-product-environmental-report.pdf,120e80146e53928be7845b74cc2fc7da,,0.73,,,,,,,,,2025-04-04,Google Auto Parser,0.08,0.01,,,,,,
Google,Pixel 9a,Workplace,Smartphone,56.0,0.19,8.0,,,March 2025,https://www.gstatic.com/gumdrop/sustainability/google-pixel-9a-product-environmental-report.pdf,c8dcd17309622709392dc55cc2a0e709,,0.77,,,,,,,,,2025-04-04,Google Auto Parser,0.03,,,,,,,
