manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio,gwp_electronics_ratio,gwp_battery_ratio,gwp_hdd_ratio,gwp_ssd_ratio,gwp_othercomponents_ratio,comment
HP,E27q G5 QHD Monitor No Stand,Workplace,Monitor,290.0,0.58,63.19,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08481008.pdf,a51911ecff2a14337e36aa8638ab9785,,0.4,7,,27,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,Engage Go 13.5-inch Convertible System,Workplace,Workstation,274.0,0.14,17.26,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08480882.pdf,5bdf70737a8d22dc158c34eebb2b19aa,,0.85,1.4,,13.5,,,,,,2025-04-02,HP Auto Parser,0.0,0.01,,,,,,
HP,Z24q G3,Workplace,Workstation,251.0,0.55,51.99,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08483214.pdf,d6e617e136c98bce5b8855ed2c8462b1,,0.43,5.3,,23.8,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,M27m Conferencing Monitor,Workplace,Monitor,255.0,0.45,43.29,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08482345.pdf,514eda2e11d31744a1fb0bb726a7191e,,0.52,7.6,,27,,,,,,2025-04-02,HP Auto Parser,0.01,0.02,,,,,,
HP,P24v G5,Workplace,Workstation,189.0,0.53,37.56,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08483215.pdf,59cb3517c1abd5117918abd93b9fab2c,,0.45,3.6,,23.8,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,21-b All-in-One PC ENERGY STAR,Workplace,Workstation,282.0,0.47,49.84,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08479951.pdf,f37849155f2d8df7f7c05c4cbf8b39b9,,0.52,5.3,,20.7,,,,,,2025-04-02,HP Auto Parser,0.0,0.01,,,,,,
HP,Chromebook 14at-na ENERGY STAR,Workplace,Laptop,126.0,0.24,13.92,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08479950.pdf,b6b4d68c78fd6d4626311d363693c2a2,,0.67,1.6,,14,,,,,,2025-04-02,HP Auto Parser,0.08,0.01,,,,,,
HP,Laptop 14z-em ENERGY STAR,Workplace,Laptop,241.0,0.13,14.15,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08456347.pdf,69e2d67c99f8ee070eb6faa5b0c6feb7,,0.83,1.6,,14,,,,,,2025-04-02,HP Auto Parser,0.04,0.0,,,,,,
HP,Z24m G3 QHD Conferencing Display,Workplace,Workstation,350.0,0.5,65.88,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08470328.pdf,2df633f19c0f43a6af8386227dbe0747,,0.48,6.2,,23.8,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,Spectre x360 2-in-1 Laptop 14t-ef ENERGY STAR,Workplace,Laptop,482.0,0.08,18.39,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08468414.pdf,01b127798b4de0eeb2aa2967a5ec048d,,0.88,1.6,,13.5,,,,,,2025-04-02,HP Auto Parser,0.04,0.0,,,,,,
HP,c08468436.pdf,Workplace,Workstation,,0.21,,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08468436.pdf,bea079847decd4aae881db518f05e9ce,,0.69,,China,16,,,,,,2025-04-02,HP Auto Parser,0.09,,,,,,,
HP,c08468437.pdf,Workplace,Workstation,,0.21,,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08468437.pdf,2ebf7f76cfed33dffb37cadc597fd397,,0.69,,China,16,,,,,,2025-04-02,HP Auto Parser,0.09,,,,,,,
HP,Pro t550 Thin Client,Workplace,Workstation,166.0,0.43,26.61,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08442755.pdf,5c46af4b210b294441ae7653c33951bf,,0.56,1.9,,,,,,,,2025-04-02,HP Auto Parser,0.0,0.01,,,,,,
HP,34 inch All-in-One Desktop PC,Workplace,Workstation,,0.06,118.38,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08377686.pdf,7b497ab83e351a243fa4513a08b44fb2,,0.94,12.8,,34,,,,,,2025-04-02,HP Auto Parser,0.0,0.0,,,,,,
HP,470 G7 Notebook PC,Workplace,Laptop,259.0,0.16,19.74,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08417686.pdf,df951ca1a192692966142469d2d01cef,,0.78,2.7,,17.3,,,,,,2025-04-02,HP Auto Parser,0.06,0.0,,,,,,
HP,Chromebook 14 G6,Workplace,Laptop,112.0,0.22,11.85,3,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08417688.pdf,fd1516ee827ebb117302630ab512b777,,0.67,1.7,,14,,,,,,2025-04-02,HP Auto Parser,0.1,0.01,,,,,,fixed lifetime
HP,Elite mt645 G7 Mobile Thin Client,Workplace,Workstation,161.0,0.23,17.02,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08417690.pdf,abd688ad733143fd43b4aa0e4c7a7a01,,0.7,1.7,,14,,,,,,2025-04-02,HP Auto Parser,0.07,0.0,,,,,,
HP,P22h G4 21.5-inch Monitor,Workplace,Monitor,198.0,0.48,35.99,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524820.pdf,e053d64f661fcfe5292f68a489b722e9,,0.5,4.5,,21.8,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,P24h G4 23.8-inch Monitor,Workplace,Monitor,194.0,0.51,37.41,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08417691.pdf,45f787ed18b79427e0f04721ed74932a,,0.47,4.9,,23.8,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,P27h G4 27-inch Monitor,Workplace,Monitor,251.0,0.5,47.06,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524821.pdf,8b0e6ac49e40fe904f41ff296714e180,,0.48,5.6,,27,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,Pavilion Desktop PC TP01,Workplace,Workstation,703.0,0.66,173.85,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08370555.pdf,9fa14949a06d86b5a9cfa8c08c1bf719,,0.34,6.6,,,,,,,,2025-04-02,HP Auto Parser,0.0,0.0,,,,,,
HP,V22b 21.5-inch Monitor,Workplace,Monitor,199.0,0.5,37.04,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08417692.pdf,7ce111c055a4e47210bc02d94bd92e69,,0.48,5.4,,21.5,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,V24b Monitor,Workplace,Monitor,258.0,0.43,41.26,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c07524861.pdf,5a6107eda907bad4f015f19dcd185174,,0.56,6,,23.6,,,,,,2025-04-02,HP Auto Parser,0.0,0.01,,,,,,
HP,Z2 Mini G9 Workstation Desktop PC,Workplace,Workstation,704.6743421052631,0.38,102.01,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08417693.pdf,2b1bc567c6d6d1ac160a0d89fd074018,,0.62,4.3,,,,,,,,2025-04-02,HP Auto Parser,0.0,0.0,,,,,,fixed gwp_total
HP,t640 Thin Client,Workplace,Workstation,192.0,0.53,37.85,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08424454.pdf,7303c8ee3992f999ec1d499d0a7add99,,0.46,2,,0,,,,,,2025-04-02,HP Auto Parser,0.0,0.01,,,,,,
HP,Dragonfly Folio 13.5 inch G3 2-in-1 Notebook PC,Workplace,Laptop,267.0,0.22,27.75,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08409253.pdf,0c7497eadd49830cc5bd9a7b9c9bac24,,0.74,1.7,,13.5,,,,,,2025-04-02,HP Auto Parser,0.04,0.0,,,,,,
HP,Engage 15t XGA No Stand Monitor,Workplace,Monitor,137.0,0.42,21.41,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08409254.pdf,1e6ca21b659ad2a5f512308a684123ea,,0.56,3.1,,15,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,Z32k G3 4K USB-C Display,Workplace,Workstation,496.0,0.53,97.8,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08409255.pdf,4e2a92c41842bfcdbd5a7e8159303893,,0.45,9.6,,31.5,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,Engage Go 13.5 inch Mobile System (ENERGY STAR),Workplace,Workstation,274.0,0.14,17.26,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08424449.pdf,f655ca76a7e4a78cac5eec566257f7b1,,0.85,1.4,,13.5,,,,,,2025-04-02,HP Auto Parser,0.0,0.01,,,,,,
HP,P22 G5,Workplace,Workstation,183.0,0.57,39.07,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08408252.pdf,c277e6793ff521310cedd4c60ae81866,,0.41,3.2,,21.5,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,P22h G5,Workplace,Workstation,179.0,0.53,35.24,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08408253.pdf,7e45eb1093ab5cb1d7d4a7e9f9171a24,,0.45,4.4,,21.5,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,Elite c640 G3 Chromebook,Workplace,Laptop,219.0,0.2,20.03,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08398266.pdf,40dd650b2a5dca888228f3db18d53e24,,0.74,1.9,,14,,,,,,2025-04-02,HP Auto Parser,0.06,0.0,,,,,,
HP,Pavilion x360 14 inch 2-in-1 Convertible PC,Workplace,Workstation,205.0,0.18,17.52,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08398269.pdf,616dd92782edff250cf83b8123bbd1c9,,0.76,1.8,,14,,,,,,2025-04-02,HP Auto Parser,0.05,0.01,,,,,,
HP,Pro Tower 290 G9 PCI Desktop PC,Workplace,Workstation,410.0,0.46,70.78,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08398274.pdf,95dd3c6ab704be9792415811c8ee658d,,0.53,6.5,,0,,,,,,2025-04-02,HP Auto Parser,0.0,0.01,,,,,,
HP,ProBook Fortis 14 inch G10 Notebook PC,Workplace,Laptop,413.0,0.07,13.07,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08398270.pdf,804368a9a287c57160bd387657b6c589,,0.9,1.9,,14,,,,,,2025-04-02,HP Auto Parser,0.03,0.0,,,,,,
HP,OMEN by 16t-k inch Gaming Laptop PC,Workplace,Laptop,339.0,0.22,34.85,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08398268.pdf,b283909dc89136424c700b8fe6824ed4,,0.71,3,,16.1,,,,,,2025-04-02,HP Auto Parser,0.06,0.01,,,,,,
HP,Victus by 15-fb Laptop PC,Workplace,Laptop,262.0,0.15,18.49,4.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08398275.pdf,69ade4d50757f482901fe955eea794ff,,0.79,2.8,,15.6,,,,,,2025-04-02,HP Auto Parser,0.06,0.0,,,,,,
HP,EliteOne 840 23.8 inch G9 All-in-One Desktop PC,Workplace,Workstation,506.0,0.48,90.98,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08155360.pdf,b975c3f078c5d5bed82e64df2ef79f39,,0.51,9.8,,23.8,,,,,,2025-04-02,HP Auto Parser,0.0,0.01,,,,,,
HP,P22v G5 Monitor,Workplace,Monitor,170.0,0.56,35.48,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08405175.pdf,02979d977490173a099fd5285fd9ca31,,0.43,3.01,,21.5,,,,,,2025-04-02,HP Auto Parser,0.0,0.01,,,,,,
HP,P24 G5,Workplace,Workstation,196.0,0.57,41.6,5.0,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08405176.pdf,75689a1cfde09d7d004487505183e55a,,0.41,4.1,,23.8,,,,,,2025-04-02,HP Auto Parser,0.01,0.01,,,,,,
HP,Slim Desktop PC S01 ENERGY STAR,Workplace,Workstation,288.0,0.45,60.47,4,North America,2021,https://h20195.www2.hp.com/v2/getpdf.aspx/c08405156.pdf,f0e29e9cb36d99a7429b531d9634f43e,,0.54,5.3,,,,,,,,2025-04-02,HP Auto Parser,0.0,0.01,,,,,,fixed lifetime
