manufacturer,name,category,subcategory,gwp_total,gwp_use_ratio,yearly_tec,lifetime,use_location,report_date,sources,sources_hash,gwp_error_ratio,gwp_manufacturing_ratio,weight,assembly_location,screen_size,server_type,hard_drive,memory,number_cpu,height,added_date,add_method,gwp_transport_ratio,gwp_eol_ratio,gwp_electronics_ratio,gwp_battery_ratio,gwp_hdd_ratio,gwp_ssd_ratio,gwp_othercomponents_ratio,comment
Lenovo,Q27h-20,,,864.0,0.34,,5.0,WW,2022-04-1,https://p1-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-lenovo-q27h-20.pdf,df67e9fc8f055ebb212240fd8419a0f6,0.233,0.37,6.33,CN,,,,,,,2025-04-04,Lenovo Auto Parser,0.28,0.01,,,,,,
Lenovo,Q24i-20,,,658.0,0.27,,5.0,WW,2022-02-0,https://p1-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch7/pcf-lenovo-q24i-20.pdf,592abb62b306c7960ce8cee519a217d2,0.201,0.45,4.65,CN,,,,,,,2025-04-04,Lenovo Auto Parser,0.27,0.01,,,,,,
Lenovo,L32p-30,,,560.0,0.52,,5.0,WW,2021-06-0,https://p4-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch4/pcf-lenovo-l32p-30.pdf,b054c8c6f6aef38ba1dc81369a2ff7df,0.338,0.4,7.8,CN,31.5,,,,,,2025-04-04,Lenovo Auto Parser,0.08,0.0,0.09,,,,,
Lenovo,L27q-35,,,380.0,,,5.0,WW,2021-6-3,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/2021/pcf-lenovo-l27q-35.pdf,78ea5e31efae174afb8a7de697dec7cc,0.297,,4.78,CN,27.0,,,,,,2025-04-04,Lenovo Auto Parser,,0.005,,,,,,
Lenovo,L27q-35/38,,,380.0,,,5.0,WW,2021-6-3,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-l27q-35_38.pdf,b6e357063216ab5670d23c5fa6cf6a7f,0.297,,4.78,CN,27.0,,,,,,2025-04-04,Lenovo Auto Parser,,0.005,,,,,,
Lenovo,L27m-30,,,387.0,0.5,,5.0,WW,2021-07-0,https://p1-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch4/pcf-lenovo-l27m-30.pdf,2ed921f37ba271ff1abd940b1de1cbc6,0.3,,6.13,CN,,,,,,,2025-04-04,Lenovo Auto Parser,,,,,,,,
Lenovo,L27m-28,,,433.0,0.5,,5.0,WW,2018-08-1,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-l27m-28.pdf,05aba097c859d5e34ce5f280a2558c8b,0.342,,7.32,CN,,,,,,,2025-04-04,Lenovo Auto Parser,,,,,,,,
Lenovo,L24q-35,,,380.0,,,5.0,WW,2021-04-3,https://p1-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch4/pcf-lenovo-l24q-35.pdf,d7f4d0b3f04f014bd222e16852fba484,0.329,,3.97,CN,23.8,,,,,,2025-04-04,Lenovo Auto Parser,,,,,,,,
Lenovo,L27i-30,,,255.0,,,2.0,WW,2020-11-1,https://p2-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch4/pcf-lenovo-l27i-30.pdf,a92dc429fdd559463109b62524f05c20,0.267,,4.41,CN,,,,,,,2025-04-04,Lenovo Auto Parser,,,,,,,,
Lenovo,L27i-28,,,378.0,,,5.0,WW,2018-05-0,https://static.lenovo.com/ww/docs/regulatory/eco-declaration/pcf-lenovo-l27i-28.pdf,37d2a4db58d3bbb1e447dd93da708437,0.294,,6.84,CN,,,,,,,2025-04-04,Lenovo Auto Parser,0.04,0.01,0.1,,,,,
Lenovo,L27e-30,,,256.0,,,2.0,WW,2020-11-2,https://p3-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch4/pcf-lenovo-l27e-30.pdf,a441951a866f064ec990555db0f35746,0.266,,4.53,CN,,,,,,,2025-04-04,Lenovo Auto Parser,,,,,,,,
Lenovo,L24i-30,,,242.0,0.27,,2.0,WW,2020-11-1,https://p3-ofp.static.pub/ShareResource/compliance/eco-declaration/pdfs/Batch4/pcf-lenovo-l24i-30.pdf,d63ac92235c705ac8d03a6e44bbf84f5,0.273,0.69,3.82,CN,23.8,,,,,,2025-04-04,Lenovo Auto Parser,0.03,0.01,0.13,,,,,
